DATE_OF_INTEREST,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT
08/02/2020,25,4,0,33,11,0,41,9,2,30,6,0,8,4,0
08/03/2020,56,6,1,84,9,1,93,12,0,96,13,1,19,1,0
08/04/2020,38,5,1,46,6,2,49,14,2,47,13,1,7,1,0
08/05/2020,47,2,3,79,12,3,94,14,0,65,10,2,15,0,0
08/06/2020,55,5,1,67,8,2,88,10,2,67,9,1,18,2,0
08/07/2020,50,4,0,57,7,2,92,9,0,53,7,2,6,0,0
08/08/2020,23,1,4,43,4,0,57,5,1,30,6,1,7,1,0
08/09/2020,18,4,0,36,5,2,48,10,0,19,7,1,12,1,0
08/10/2020,49,4,1,76,6,2,74,13,1,89,8,2,22,2,0
08/11/2020,42,1,2,51,4,2,82,8,1,71,10,1,18,3,0
08/12/2020,43,7,0,86,10,0,114,11,0,59,6,2,18,2,0
08/13/2020,51,7,0,67,10,0,87,14,2,59,9,1,12,0,0
08/14/2020,45,5,1,69,16,0,80,11,1,68,6,1,16,2,1
08/15/2020,25,1,2,42,4,0,33,8,2,42,8,3,9,2,0
08/16/2020,22,1,0,39,5,2,49,5,1,23,12,2,7,1,0
08/17/2020,57,4,1,92,12,2,94,8,1,71,9,1,14,0,1
08/18/2020,62,2,0,87,15,0,65,9,0,54,15,2,14,2,0
08/19/2020,52,9,0,69,5,1,68,14,1,50,4,0,18,0,0
08/20/2020,33,4,0,56,12,2,55,7,3,63,11,2,20,1,0
08/21/2020,51,5,0,60,8,3,75,9,0,52,9,0,14,0,0
08/22/2020,30,6,1,35,7,1,35,7,2,29,6,1,7,0,1
08/23/2020,16,3,1,40,10,0,55,5,0,32,2,3,7,1,0
08/24/2020,50,7,1,83,6,0,85,6,1,64,10,5,15,2,1
08/25/2020,54,6,0,69,10,0,83,14,2,64,11,3,12,0,0
08/26/2020,51,2,1,66,4,3,116,11,1,64,6,1,16,3,0
08/27/2020,48,2,0,61,11,0,95,8,0,52,8,1,13,2,0
08/28/2020,52,2,1,51,6,1,78,9,1,77,4,3,21,1,0
08/29/2020,23,0,0,32,5,1,38,9,1,28,7,1,7,1,1
08/30/2020,36,3,0,42,6,2,60,4,2,21,2,5,24,4,0
08/31/2020,51,5,0,77,13,0,116,13,0,46,8,3,21,1,0
09/01/2020,55,2,1,72,6,1,92,8,0,52,5,2,24,1,1
09/02/2020,48,1,1,69,8,1,96,11,3,42,3,2,17,0,0
09/03/2020,35,1,1,90,8,1,91,9,2,40,2,2,17,1,0
09/04/2020,30,2,1,59,11,2,71,10,1,43,7,0,26,2,0
09/05/2020,22,1,0,34,3,0,46,9,3,30,7,0,24,0,0
09/06/2020,27,1,1,61,6,2,88,13,2,18,3,2,13,1,0
09/07/2020,41,4,1,52,8,1,74,7,0,32,5,1,19,1,0
09/08/2020,58,1,0,96,7,0,128,9,1,81,7,1,30,1,0
09/09/2020,69,3,0,83,9,1,119,11,0,56,5,2,25,0,0
09/10/2020,57,2,0,70,8,1,124,9,0,45,3,2,26,4,0
09/11/2020,54,6,0,77,7,0,111,8,1,55,11,3,16,2,0
09/12/2020,36,3,0,61,4,3,50,4,0,35,2,3,19,1,0
09/13/2020,41,0,0,66,5,1,117,8,2,19,2,0,14,1,0
09/14/2020,68,6,0,98,5,2,167,11,2,73,4,1,26,3,0
09/15/2020,45,5,0,72,5,1,151,11,0,54,11,2,18,0,0
09/16/2020,54,3,1,81,12,3,165,24,0,49,7,2,17,1,1
09/17/2020,53,5,1,93,5,1,126,9,1,59,7,1,26,1,0
09/18/2020,42,5,0,66,6,0,109,14,2,45,12,2,24,1,0
09/19/2020,26,6,1,54,7,1,36,7,2,30,2,1,13,1,0
09/20/2020,25,4,1,28,4,1,60,6,1,23,8,0,21,2,0
09/21/2020,57,1,1,115,5,0,248,10,1,69,5,1,24,2,0
09/22/2020,50,1,0,100,9,0,174,13,3,59,8,0,25,0,0
09/23/2020,73,1,1,104,10,0,238,25,1,80,5,1,37,0,1
09/24/2020,58,4,1,88,9,0,232,11,1,63,6,0,26,3,0
09/25/2020,67,6,1,124,10,1,188,20,0,48,11,2,28,1,0
09/26/2020,35,4,0,61,12,1,107,8,1,42,5,4,33,2,0
09/27/2020,35,1,0,103,8,0,183,15,2,32,5,0,28,3,0
09/28/2020,58,3,0,109,13,1,139,13,2,80,5,1,46,1,0
09/29/2020,81,8,0,174,15,2,335,17,3,64,6,3,34,4,0
09/30/2020,86,8,1,134,9,0,275,32,4,52,1,2,40,0,0
10/01/2020,87,4,0,134,6,4,293,22,1,76,3,0,25,1,0
10/02/2020,77,5,0,139,11,1,264,23,1,80,5,2,35,2,0
10/03/2020,46,5,0,96,6,2,80,11,1,34,2,1,17,2,1
10/04/2020,29,4,0,84,10,3,163,23,3,36,4,0,26,3,1
10/05/2020,83,1,0,195,17,0,439,23,0,93,10,3,38,2,0
10/06/2020,77,9,0,144,11,1,248,22,1,67,6,0,29,2,0
10/07/2020,75,5,1,131,11,1,222,22,1,75,8,1,37,0,0
10/08/2020,79,6,0,110,9,2,215,16,2,82,8,1,32,3,0
10/09/2020,72,2,0,143,15,1,182,28,0,92,6,2,30,3,0
10/10/2020,45,4,0,98,5,2,94,18,0,36,3,1,34,4,1
10/11/2020,29,5,2,85,11,1,113,15,2,38,12,3,14,1,0
10/12/2020,86,6,4,114,11,1,219,28,1,53,2,1,37,0,1
10/13/2020,98,3,0,125,15,0,222,22,3,91,9,0,45,5,0
10/14/2020,82,6,0,159,19,0,207,21,3,90,5,3,33,6,0
10/15/2020,89,3,2,142,19,3,235,34,2,91,13,2,39,2,0
10/16/2020,90,3,1,132,10,1,163,19,3,75,8,1,37,5,0
10/17/2020,59,4,0,106,11,1,88,10,3,64,8,2,39,6,0
10/18/2020,37,3,0,117,13,0,175,18,1,45,5,2,33,3,1
10/19/2020,100,7,0,176,16,0,204,25,6,104,9,0,35,4,1
10/20/2020,102,7,0,151,22,3,215,30,2,91,9,1,38,3,0
10/21/2020,113,6,1,187,11,0,199,16,3,95,11,0,50,5,1
10/22/2020,133,8,0,173,13,0,241,11,2,120,7,0,75,4,0
10/23/2020,77,3,1,158,17,1,192,23,0,113,10,1,44,4,1
10/24/2020,58,6,0,101,8,1,114,24,0,70,10,0,31,4,0
10/25/2020,50,2,2,86,7,0,127,22,3,66,8,3,29,4,1
10/26/2020,114,6,1,151,22,1,215,12,1,130,7,0,67,5,0
10/27/2020,118,3,1,177,7,1,229,21,3,118,8,3,76,3,0
10/28/2020,127,2,0,190,9,0,220,16,3,122,8,0,85,3,1
10/29/2020,109,6,1,150,9,1,185,15,2,94,9,0,50,5,0
10/30/2020,98,7,1,148,15,0,182,11,4,111,12,2,71,5,2
10/31/2020,53,6,0,112,13,2,107,11,2,59,8,0,48,3,0
11/01/2020,60,8,0,96,6,0,214,17,6,53,6,2,40,7,1
11/02/2020,131,9,1,207,11,1,309,17,6,149,15,1,81,3,0
11/03/2020,128,10,1,166,13,2,254,21,5,130,13,3,78,1,0
11/04/2020,140,8,0,225,9,1,249,17,5,137,9,0,109,4,0
11/05/2020,96,5,0,190,9,0,160,13,3,85,9,3,50,1,0
11/06/2020,64,1,0,90,0,0,81,0,2,48,2,2,21,0,1
11/07/2020,7,0,0,7,0,0,3,0,0,4,0,0,0,0,0
